State,County,TotalPopulation,MedianHouseholdIncome,IncomePerCapita,PovertyRate,EmployedPersons,ProfessionalOccupationRate,ServiceOccupationRate,DrivingCommuteRate,WorkFromHomeRate,CrimeRate2016,ChildPovertyRate,UrbanizationLevel,MajorPoliticalParty2020,CostOfLiving,GoodAirQuality
Kentucky,Boyd,48486,45543,26420,19.3,18235,36.3,17.9,82.8,1.5,0.0,27.5,11,1,81021.06,0.9346
Illinois,De Witt,16176,55411,27866,13.3,8112,29.5,17.8,84.8,4.8,2.0,21.3,7,0,73608.1,0.802
Minnesota,St. Louis,200294,50936,29197,15.4,98224,35.6,21.1,78.8,3.9,33.0,17.2,2,0,77577.75,0.9309000000000001
Oregon,Yamhill,102366,58392,28540,13.7,45842,33.0,19.4,75.2,5.6,18.0,19.5,7,0,91955.66,0.8698
Texas,Atascosa,48139,55194,23973,14.6,20208,25.8,21.1,76.9,5.9,28.0,22.5,7,1,65127.51,0.7533
Kentucky,Todd,12377,38248,19555,20.1,4759,25.6,12.2,83.8,3.6,10.0,25.0,10,1,68356.52,0.8538
California,Riverside,2355002,60807,25700,15.6,978726,29.4,21.4,77.2,5.2,30.0,21.3,1,0,83185.1,0.6846
Alabama,Coffee,51073,49821,26216,16.1,21639,31.6,17.3,86.6,2.8,21.0,26.3,8,0,58708.79,0.833
Colorado,Pitkin,17747,67755,65800,7.1,11435,41.6,22.2,51.8,12.7,27.0,5.9,8,0,94933.28,0.7382
Maryland,Caroline,32785,52469,25355,16.5,15674,27.6,21.5,83.7,2.6,12.0,25.6,9,0,84509.53,0.9376000000000001
North Dakota,Bottineau,6651,58767,35698,8.6,3283,36.8,20.0,76.0,7.9,12.0,9.0,11,1,64784.35,0.9523999999999999
Montana,Wibaux,1121,47132,24662,10.8,563,41.6,17.6,71.1,13.0,2.0,9.1,11,1,81244.72,0.9152
Illinois,Bond,17034,54393,24473,15.7,7483,24.5,18.5,77.0,4.5,11.0,21.8,7,0,74333.39,0.802
Oregon,Klamath,66018,42531,23793,18.7,26034,29.0,21.3,79.9,6.0,13.0,24.7,11,0,75848.91,0.8698
Indiana,LaPorte,110839,49921,25004,16.6,47222,26.6,19.5,83.5,3.7,29.0,28.7,2,1,69601.94,0.8453
Pennsylvania,Forest,7388,37106,14989,14.1,751,24.5,22.6,80.2,3.3,16.0,38.3,11,0,72101.26,0.8789
Oklahoma,Washita,11550,51909,26409,14.2,4933,31.6,15.2,85.2,5.4,19.0,20.6,10,1,73756.66,0.7243999999999999
Massachusetts,Barnstable,213900,68048,40886,7.5,104246,37.9,21.2,81.1,6.3,18.0,11.7,9,0,106175.32,0.8976000000000001
Indiana,Steuben,34459,52749,26902,10.1,17154,25.6,15.3,82.0,3.7,14.0,15.6,9,1,66949.51,0.8453
California,Sacramento,1495400,60239,29693,16.7,666790,38.4,19.6,77.1,5.5,30.0,22.6,3,0,87804.62,0.6846
Louisiana,Jefferson Davis,31405,40744,23068,19.6,12173,27.0,19.3,81.9,1.6,0.0,24.2,10,1,60037.95,0.8402
New Hampshire,Strafford,126552,67805,32540,9.5,69103,38.1,17.8,78.9,3.9,20.0,9.3,5,0,78484.22,0.9499
Missouri,St. Louis city,314867,38664,26739,25.0,152079,40.6,22.5,71.8,4.2,89.0,39.8,0,1,66954.41,0.831
Montana,Roosevelt,11218,39219,18030,29.1,3835,29.3,25.3,75.3,4.6,31.0,39.5,11,0,67338.66,0.6834
Illinois,Macoupin,45960,53890,27255,13.3,20963,31.0,17.3,82.5,5.2,16.0,20.9,10,0,75018.33,0.802
Virginia,Rockbridge,22440,53918,31534,15.6,10267,34.3,16.8,82.2,7.5,13.0,23.8,9,0,68849.08,0.9376000000000001
North Carolina,Craven,103374,49391,26830,15.4,40286,33.1,20.4,81.0,3.1,27.0,25.7,6,0,78780.99,0.8812000000000001
Utah,Box Elder,52182,58835,22808,10.2,22319,31.5,14.4,77.7,4.0,19.0,13.0,11,1,69418.63,0.7291
Virginia,Smyth,31298,40544,22319,17.4,12817,27.3,21.3,85.8,3.0,23.0,23.8,7,0,64915.81,0.9376000000000001
Kansas,Coffey,8328,58662,31679,11.3,4136,30.9,18.0,82.5,4.1,14.0,14.3,10,1,66673.13,0.7967
New Mexico,Curry,50283,41941,22628,22.5,20509,28.5,18.9,83.6,1.2,6.0,34.2,11,0,84613.07,0.8698
Mississippi,Sunflower,26915,28556,14427,32.5,8371,28.0,20.1,83.1,1.0,1.0,46.5,8,1,57263.66,0.8402
Florida,Hernando,179144,44324,23495,14.3,63962,29.6,19.9,82.0,5.8,19.0,20.7,4,1,73006.8,0.8542000000000001
Alabama,Russell,58480,38988,21279,20.9,22959,28.7,20.2,86.0,2.8,21.0,29.2,11,1,65343.21,0.7967
Minnesota,Koochiching,12776,47131,26804,17.1,5832,27.1,19.5,71.6,4.2,5.0,24.1,8,0,65529.5,0.9309000000000001
Texas,Dickens,2224,43088,24171,16.6,747,37.1,20.7,66.5,5.0,22.0,19.3,11,1,63237.45,0.7533
North Carolina,Cabarrus,196716,60716,29143,11.5,95894,37.4,16.9,83.3,4.7,17.0,15.9,2,0,74287.91,0.8812000000000001
Kansas,Chase,2665,42772,24469,12.6,1156,35.7,12.5,74.1,8.3,5.0,18.1,11,1,64823.96,0.7967
Iowa,Linn,220008,62702,32786,9.5,117384,38.6,15.2,84.8,3.2,12.0,11.4,11,1,72169.54,0.7967
Alabama,Macon,19358,32308,19564,25.9,7348,29.4,24.0,79.3,1.6,19.0,39.3,7,0,60932.13,0.833
Arizona,Greenlee,9368,56298,24935,11.5,3675,24.0,16.4,85.8,2.1,15.0,15.7,11,0,66659.82,0.6839
Colorado,Sedgwick,2357,49583,24666,17.0,992,38.8,14.4,75.6,4.9,3.0,24.6,11,0,65701.9,0.7382
Ohio,Geauga,93895,77104,39513,6.5,47123,40.8,14.8,79.2,8.2,7.0,8.8,6,1,70131.83,0.8283
Georgia,Butts,23556,39655,21236,23.5,8655,27.3,16.3,85.7,4.6,21.0,31.6,9,0,72124.12,0.833
Arizona,La Paz,20477,36479,21707,19.7,6474,26.4,26.8,70.5,8.3,38.0,38.1,7,0,77100.05,0.6839
Texas,Tyler,21456,44396,21172,15.8,6746,23.6,21.0,83.3,5.0,9.0,23.8,10,1,73047.77,0.895
New Jersey,Atlantic,272926,57514,29941,15.3,127737,31.0,29.3,77.1,2.5,29.0,24.4,9,0,88433.46,0.8373999999999999
Arizona,Santa Cruz,46358,39630,19482,21.8,17421,25.6,20.8,83.9,4.7,16.0,29.4,8,0,62586.26,0.6839
Massachusetts,Hampden,469188,52205,28072,17.2,215324,34.2,21.1,82.2,3.6,33.0,26.7,1,0,81111.54,0.8976000000000001
Wisconsin,Sawyer,16384,43565,29712,17.7,7254,29.8,20.9,73.2,5.0,16.0,32.8,11,0,71816.85,0.8789
Montana,Powder River,1610,51136,31211,8.2,954,39.6,13.4,69.9,14.4,5.0,6.6,11,1,72572.19,0.9152
Oklahoma,McCurtain,33026,34250,19040,23.6,12423,23.3,18.7,84.9,1.0,36.0,32.2,10,1,69868.46,0.7243999999999999
Kansas,McPherson,28792,56946,29508,7.6,15238,36.1,17.1,83.2,3.3,0.0,7.8,11,1,80466.38,0.9346
Illinois,Williamson,67477,48600,26023,15.2,28720,32.3,21.3,85.1,4.1,24.0,21.9,10,0,76462.93,0.802
Louisiana,Morehouse,26290,31672,18776,27.6,9422,24.7,18.6,89.7,0.8,59.0,40.2,7,1,64646.37,0.8376
Georgia,Tattnall,25402,36355,16279,23.7,7655,29.6,19.5,76.5,5.5,17.0,38.3,10,0,60441.56,0.833
New York,Tompkins,104415,56200,29759,20.4,50390,51.4,17.9,61.3,6.3,25.0,16.7,10,0,97221.49,0.8998999999999999
Tennessee,Cheatham,39713,56150,25673,12.7,19170,32.3,16.0,84.0,4.4,21.0,18.0,6,1,75150.1,0.8490000000000001
Arkansas,Faulkner,121282,50316,25240,16.3,57306,36.0,17.4,83.5,3.4,38.0,16.6,2,1,69253.98,0.8842
Illinois,Vermilion,79207,44930,23416,19.8,31973,26.9,20.0,84.7,3.2,26.0,30.7,10,1,67223.37,0.8376
Indiana,Tippecanoe,186081,50486,25481,20.9,91869,39.2,17.7,74.1,3.2,26.0,19.1,2,1,74132.98,0.8453
Idaho,Valley,10104,54015,28515,10.4,4244,35.0,20.9,78.7,7.0,9.0,3.2,11,1,78192.13,0.9346
Missouri,Holt,4499,43981,25306,12.0,2119,35.0,15.7,78.3,3.1,17.0,12.3,11,1,67039.92,0.831
New Jersey,Hunterdon,125717,110969,54200,4.5,66382,51.7,12.9,80.7,8.7,6.0,4.9,3,0,97518.62,0.8373999999999999
Nebraska,Keya Paha,720,48864,28981,7.7,428,48.4,11.0,56.0,28.3,1.0,13.3,11,1,80892.53,0.9346
Missouri,New Madrid,18030,33846,20261,24.1,6939,24.0,24.8,80.6,3.8,11.0,36.2,8,1,64419.64,0.831
Idaho,Teton,10776,55986,28004,8.3,5607,35.1,24.1,70.2,8.3,6.0,11.4,11,1,76077.25,0.8817
Mississippi,Leflore,30113,25210,15403,40.3,9106,28.1,21.0,87.3,2.5,42.0,54.5,9,1,57309.13,0.8402
Michigan,Washtenaw,361509,65618,37455,14.5,183919,52.6,15.7,72.2,5.9,20.0,12.7,3,0,84563.21,0.8067
Missouri,Audrain,25763,44056,21226,16.7,10622,26.8,20.5,80.8,4.1,22.0,26.7,7,1,65362.26,0.831
Texas,Upton,3575,52750,25290,18.0,1398,27.4,12.3,86.1,2.7,6.0,24.0,11,1,62059.42,0.7533
Michigan,Eaton,108586,59244,30064,10.9,52647,34.2,16.5,84.4,2.9,17.0,16.7,6,0,70518.3,0.8067
Wyoming,Converse,14166,62776,31948,8.0,6902,28.0,16.5,77.0,6.2,15.0,8.1,10,1,82025.31,0.8985
Virginia,Culpeper,49795,69693,29979,8.9,23377,36.1,18.0,80.9,4.5,11.0,10.3,7,0,80994.51,0.9376000000000001
Iowa,Iowa,16231,58077,29881,9.8,8623,30.3,18.0,79.6,5.5,7.0,14.7,10,1,66138.17,0.8771
South Carolina,Greenville,490332,53739,29132,13.5,233417,37.9,16.4,83.4,4.4,31.0,19.3,3,1,67982.82,0.8745999999999999
Wisconsin,Door,27443,56494,34253,8.4,13419,33.1,16.7,80.9,6.0,7.0,9.3,11,0,74157.74,0.8789
Louisiana,Acadia,62607,40492,21591,21.5,24982,27.6,16.9,83.2,2.5,33.0,27.6,10,1,66328.31,0.8376
Mississippi,Humphreys,8678,26188,15696,40.5,2730,21.9,18.0,77.4,1.7,0.0,56.1,8,1,58413.26,0.8402
Virginia,Hopewell city,22353,40712,22668,21.2,9503,25.4,20.3,83.3,2.1,33.0,31.4,3,0,75252.45,0.9376000000000001
Georgia,McIntosh,14061,43285,25226,20.3,5716,23.0,17.9,80.1,5.3,32.0,29.7,6,0,65950.83,0.833
South Carolina,Spartanburg,297732,47575,24786,15.6,135522,31.2,15.4,84.4,2.5,30.0,23.6,9,1,62812.59,0.8745999999999999
